x,y,Ex,Ey,E
-7.50000e+00,-4.00000e+00,3.73906e-01,3.18477e-01,4.91155e-01
-7.50000e+00,-3.50000e+00,4.37330e-01,3.13864e-01,5.38301e-01
-7.50000e+00,-3.00000e+00,5.02310e-01,2.99293e-01,5.84715e-01
-7.50000e+00,-2.50000e+00,5.65960e-01,2.73664e-01,6.28651e-01
-7.50000e+00,-2.00000e+00,6.24901e-01,2.36616e-01,6.68198e-01
-7.50000e+00,-1.50000e+00,6.75572e-01,1.88718e-01,7.01435e-01
-7.50000e+00,-1.00000e+00,7.14608e-01,1.31535e-01,7.26613e-01
-7.50000e+00,-5.00000e-01,7.39246e-01,6.75617e-02,7.42327e-01
-7.50000e+00,0.00000e+00,7.47670e-01,2.25514e-17,7.47670e-01
-7.50000e+00,5.00000e-01,7.39246e-01,-6.75617e-02,7.42327e-01
-7.50000e+00,1.00000e+00,7.14608e-01,-1.31535e-01,7.26613e-01
-7.50000e+00,1.50000e+00,6.75572e-01,-1.88718e-01,7.01435e-01
-7.50000e+00,2.00000e+00,6.24901e-01,-2.36616e-01,6.68198e-01
-7.50000e+00,2.50000e+00,5.65960e-01,-2.73664e-01,6.28651e-01
-7.50000e+00,3.00000e+00,5.02310e-01,-2.99293e-01,5.84715e-01
-7.50000e+00,3.50000e+00,4.37330e-01,-3.13864e-01,5.38301e-01
-7.50000e+00,4.00000e+00,3.73906e-01,-3.18477e-01,4.91155e-01
-7.50000e+00,4.50000e+00,3.14260e-01,-3.14715e-01,4.44752e-01
-7.50000e+00,5.00000e+00,2.59885e-01,-3.04384e-01,4.00237e-01
-7.50000e+00,5.50000e+00,2.11601e-01,-2.89289e-01,3.58417e-01
-7.50000e+00,6.00000e+00,1.69667e-01,-2.71070e-01,3.19790e-01
-7.50000e+00,6.50000e+00,1.33925e-01,-2.51116e-01,2.84597e-01
-7.50000e+00,7.00000e+00,1.03944e-01,-2.30525e-01,2.52876e-01
-7.50000e+00,7.50000e+00,7.91333e-02,-2.10117e-01,2.24524e-01
-7.50000e+00,8.00000e+00,5.88413e-02,-1.90463e-01,1.99345e-01
-7.50000e+00,8.50000e+00,4.24151e-02,-1.71934e-01,1.77088e-01
-7.50000e+00,9.00000e+00,2.92417e-02,-1.54740e-01,1.57478e-01
-7.50000e+00,9.50000e+00,1.87695e-02,-1.38976e-01,1.40238e-01
-7.50000e+00,1.00000e+01,1.05164e-02,-1.24654e-01,1.25097e-01
-7.00000e+00,-1.00000e+01,2.69809e-03,1.31722e-01,1.31750e-01
-7.00000e+00,-9.50000e+00,1.05287e-02,1.48118e-01,1.48492e-01
-7.00000e+00,-9.00000e+00,2.07613e-02,1.66450e-01,1.67740e-01
-7.00000e+00,-8.50000e+00,3.39911e-02,1.86794e-01,1.89862e-01
-7.00000e+00,-8.00000e+00,5.09246e-02,2.09145e-01,2.15256e-01
-7.00000e+00,-7.50000e+00,7.23800e-02,2.33370e-01,2.44337e-01
-7.00000e+00,-7.00000e+00,9.92728e-02,2.59151e-01,2.77515e-01
-7.00000e+00,-6.50000e+00,1.32578e-01,2.85913e-01,3.15155e-01
-7.00000e+00,-6.00000e+00,1.73256e-01,3.12749e-01,3.57533e-01
-7.00000e+00,-5.50000e+00,2.22141e-01,3.38350e-01,4.04756e-01
-7.00000e+00,-5.00000e+00,2.79766e-01,3.60955e-01,4.56681e-01
-7.00000e+00,-4.50000e+00,3.46151e-01,3.78362e-01,5.12814e-01
-7.00000e+00,-4.00000e+00,4.20562e-01,3.88025e-01,5.72220e-01
-7.00000e+00,-3.50000e+00,5.01286e-01,3.87258e-01,6.33448e-01
-7.00000e+00,-3.00000e+00,5.85499e-01,3.73569e-01,6.94524e-01
-7.00000e+00,-2.50000e+00,6.69292e-01,3.45076e-01,7.53013e-01
-7.00000e+00,-2.00000e+00,7.47906e-01,3.00927e-01,8.06177e-01
-7.00000e+00,-1.50000e+00,8.16189e-01,2.41640e-01,8.51208e-01
-7.00000e+00,-1.00000e+00,8.69192e-01,1.69245e-01,8.85516e-01
-7.00000e+00,-5.00000e-01,9.02810e-01,8.71858e-02,9.07010e-01
-7.00000e+00,0.00000e+00,9.14331e-01,2.42861e-17,9.14331e-01
-7.00000e+00,5.00000e-01,9.02810e-01,-8.71858e-02,9.07010e-01
-7.00000e+00,1.00000e+00,8.69192e-01,-1.69245e-01,8.85516e-01
-7.00000e+00,1.50000e+00,8.16189e-01,-2.41640e-01,8.51208e-01
-7.00000e+00,2.00000e+00,7.47906e-01,-3.00927e-01,8.06177e-01
-7.00000e+00,2.50000e+00,6.69292e-01,-3.45076e-01,7.53013e-01
-7.00000e+00,3.00000e+00,5.85499e-01,-3.73569e-01,6.94524e-01
-7.00000e+00,3.50000e+00,5.01286e-01,-3.87258e-01,6.33448e-01
-7.00000e+00,4.00000e+00,4.20562e-01,-3.88025e-01,5.72220e-01
-7.00000e+00,4.50000e+00,3.46151e-01,-3.78362e-01,5.12814e-01
-7.00000e+00,5.00000e+00,2.79766e-01,-3.60955e-01,4.56681e-01
-7.00000e+00,5.50000e+00,2.22141e-01,-3.38350e-01,4.04756e-01
-7.00000e+00,6.00000e+00,1.73256e-01,-3.12749e-01,3.57533e-01
-7.00000e+00,6.50000e+00,1.32578e-01,-2.85913e-01,3.15155e-01
-7.00000e+00,7.00000e+00,9.92728e-02,-2.59151e-01,2.77515e-01
-7.00000e+00,7.50000e+00,7.23800e-02,-2.33370e-01,2.44337e-01
-7.00000e+00,8.00000e+00,5.09246e-02,-2.09145e-01,2.15256e-01
-7.00000e+00,8.50000e+00,3.39911e-02,-1.86794e-01,1.89862e-01
-7.00000e+00,9.00000e+00,2.07613e-02,-1.66450e-01,1.67740e-01
-7.00000e+00,9.50000e+00,1.05287e-02,-1.48118e-01,1.48492e-01
-7.00000e+00,1.00000e+01,2.69809e-03,-1.31722e-01,1.31750e-01
-6.50000e+00,-1.00000e+01,-6.64810e-03,1.38150e-01,1.38310e-01
-6.50000e+00,-9.50000e+00,4.12551e-04,1.56734e-01,1.56734e-01
-6.50000e+00,-9.00000e+00,1.00045e-02,1.77844e-01,1.78125e-01
-6.50000e+00,-8.50000e+00,2.28435e-02,2.01688e-01,2.02977e-01
-6.50000e+00,-8.00000e+00,3.98109e-02,2.28404e-01,2.31847e-01
-6.50000e+00,-7.50000e+00,6.19706e-02,2.58003e-01,2.65341e-01
-6.50000e+00,-7.00000e+00,9.05708e-02,2.90295e-01,3.04096e-01
-6.50000e+00,-6.50000e+00,1.27019e-01,3.24782e-01,3.48736e-01
-6.50000e+00,-6.00000e+00,1.72811e-01,3.60535e-01,3.99812e-01
-6.50000e+00,-5.50000e+00,2.29396e-01,3.96065e-01,4.57701e-01
-6.50000e+00,-5.00000e+00,2.97947e-01,4.29197e-01,5.22478e-01
-6.50000e+00,-4.50000e+00,3.79045e-01,4.57021e-01,5.93754e-01
-6.50000e+00,-4.00000e+00,4.72277e-01,4.75955e-01,6.70507e-01
-6.50000e+00,-3.50000e+00,5.75825e-01,4.82006e-01,7.50935e-01
-6.50000e+00,-3.00000e+00,6.86154e-01,4.71242e-01,8.32392e-01
-6.50000e+00,-2.50000e+00,7.97950e-01,4.40460e-01,9.11443e-01
-6.50000e+00,-2.00000e+00,9.04416e-01,3.87912e-01,9.84096e-01
-6.50000e+00,-1.50000e+00,9.97964e-01,3.13902e-01,1.04617e+00
-6.50000e+00,-1.00000e+00,1.07118e+00,2.21070e-01,1.09375e+00
-6.50000e+00,-5.00000e-01,1.11786e+00,1.14258e-01,1.12369e+00
-6.50000e+00,0.00000e+00,1.13390e+00,1.21431e-17,1.13390e+00
-6.50000e+00,5.00000e-01,1.11786e+00,-1.14258e-01,1.12369e+00
-6.50000e+00,1.00000e+00,1.07118e+00,-2.21070e-01,1.09375e+00
-6.50000e+00,1.50000e+00,9.97964e-01,-3.13902e-01,1.04617e+00
-6.50000e+00,2.00000e+00,9.04416e-01,-3.87912e-01,9.84096e-01
-6.50000e+00,2.50000e+00,7.97950e-01,-4.40460e-01,9.11443e-01
-6.50000e+00,3.00000e+00,6.86154e-01,-4.71242e-01,8.32392e-01
-6.50000e+00,3.50000e+00,5.75825e-01,-4.82006e-01,7.50935e-01
-6.50000e+00,4.00000e+00,4.72277e-01,-4.75955e-01,6.70507e-01
-6.50000e+00,4.50000e+00,3.79045e-01,-4.57021e-01,5.93754e-01
-6.50000e+00,5.00000e+00,2.97947e-01,-4.29197e-01,5.22478e-01
-6.50000e+00,5.50000e+00,2.29396e-01,-3.96065e-01,4.57701e-01
-6.50000e+00,6.00000e+00,1.72811e-01,-3.60535e-01,3.99812e-01
-6.50000e+00,6.50000e+00,1.27019e-01,-3.24782e-01,3.48736e-01
-6.50000e+00,7.00000e+00,9.05708e-02,-2.90295e-01,3.04096e-01
-6.50000e+00,7.50000e+00,6.19706e-02,-2.58003e-01,2.65341e-01
-6.50000e+00,8.00000e+00,3.98109e-02,-2.28404e-01,2.31847e-01
-6.50000e+00,8.50000e+00,2.28435e-02,-2.01688e-01,2.02977e-01
-6.50000e+00,9.00000e+00,1.00045e-02,-1.77844e-01,1.78125e-01
-6.50000e+00,9.50000e+00,4.12551e-04,-1.56734e-01,1.56734e-01
-6.50000e+00,1.00000e+01,-6.64810e-03,-1.38150e-01,1.38310e-01
-6.00000e+00,-1.00000e+01,-1.76073e-02,1.43588e-01,1.44663e-01
-6.00000e+00,-9.50000e+00,-1.17395e-02,1.64403e-01,1.64821e-01
-6.00000e+00,-9.00000e+00,-3.29799e-03,1.88431e-01,1.88460e-01
